customer_id,first_name,last_name,email,signup_date,total_orders,total_spent,is_active
1,Danielle,Wood,maldonadoamanda@mack-peterson.com,2025-02-26,10,1461.02,1
2,Angel,Clark,shawnmckay@hotmail.com,2025-02-21,1,598.87,1
3,Joshua,Adams,williamrodriguez@hotmail.com,2024-11-03,0,850.46,0
4,Jeffrey,Zuniga,ericfarmer@hotmail.com,2024-08-01,4,1252.64,0
5,Jill,Wong,tracy15@allen-allen.org,2025-05-09,3,946.85,1
6,Erica,Lynch,dennislisa@cannon.net,2025-04-13,3,1299.48,0
7,Patricia,Jackson,allison96@hickman.com,2024-09-25,2,887.16,0
8,Christopher,Daniel,pcarney@yahoo.com,2025-03-14,1,1071.63,0
9,Robert,Martin,omartinez@gmail.com,2024-10-24,10,116.45,0
10,Anthony,Gray,chapmanjerry@gmail.com,2024-09-21,8,380.45,0
11,Jeffery,Mayo,zimmermanbrian@whitehead.com,2025-05-05,1,469.61,1
12,William,Bowman,elizabeth38@cummings.org,2024-09-11,9,165.7,0
13,Anthony,Hawkins,kristenaguirre@gmail.com,2024-08-22,6,387.55,1
14,James,Cohen,hopkinsmichael@owens-daniel.com,2024-07-05,0,196.45,1
15,Debra,Cameron,zchandler@wright.net,2024-07-13,0,453.06,1
16,Amy,Parsons,robertramirez@gmail.com,2024-09-29,1,971.74,1
17,Jeffrey,Perez,jmorton@williams.com,2024-12-27,3,579.01,0
18,Bridget,Johnson,gabrieltucker@hancock.com,2025-02-18,3,586.76,0
19,Lisa,Stewart,gallowayjoseph@yahoo.com,2025-05-22,8,353.79,1
20,Adam,Adams,uhorton@hotmail.com,2025-04-20,9,437.12,1
21,Linda,Clark,jamesrobinson@gmail.com,2024-07-24,0,1408.15,0
22,Helen,Hahn,brian97@calhoun.net,2024-12-19,8,989.65,1
23,Matthew,Walter,caseyjones@powell.com,2024-12-03,3,933.24,1
24,Eric,Edwards,barnesbrandy@stewart.com,2025-06-05,10,298.15,0
25,Susan,Rios,randy47@hickman-walls.com,2025-02-25,8,1107.23,1
26,Matthew,Foster,jonesjason@yahoo.com,2025-02-04,6,286.93,0
27,Christopher,Rocha,nicole35@moore-bass.com,2024-09-09,3,600.21,1
28,Colin,Ellis,sarah12@wilson-rodriguez.net,2025-03-31,7,1484.81,0
29,Melanie,Baker,juan35@watts.net,2025-03-23,9,978.0,0
30,Cassandra,Wright,rebecca01@hotmail.com,2024-11-22,4,857.58,1
31,Lindsay,Hoffman,bradley52@hotmail.com,2025-01-03,0,1042.69,0
32,Jessica,Baker,joycearnold@yahoo.com,2024-11-28,2,1272.14,0
33,Amanda,Richards,jonesnicole@gardner.org,2024-09-28,6,1175.2,1
34,Teresa,Hurst,tanderson@nolan-flynn.com,2024-08-22,5,382.12,0
35,Nicholas,Ross,evelynestrada@yahoo.com,2025-03-07,4,96.55,0
36,Andrea,Robinson,sarayoung@gmail.com,2025-03-20,2,507.41,1
37,Maria,Bright,vjohnson@patton-jenkins.com,2024-06-28,3,438.22,1
38,Christine,Hicks,kristinrodriguez@gmail.com,2025-06-07,5,355.93,0
39,Michelle,Davis,jamessellers@yahoo.com,2025-04-13,1,1417.22,0
40,Barbara,Williams,jeffreykeller@yahoo.com,2025-05-26,1,1320.73,1
41,Janet,Rodriguez,michelle45@hotmail.com,2025-04-21,6,506.28,1
42,Brandon,Burton,sheila14@gmail.com,2025-06-04,1,1000.39,0
43,Jeremy,Conner,rodriguezryan@hotmail.com,2024-08-06,5,623.67,0
44,Keith,Henderson,gobrien@gmail.com,2025-04-24,5,1376.09,0
45,Christopher,Brown,jonathanfletcher@gmail.com,2024-12-08,9,715.34,0
46,Jesse,James,ryan59@alvarado-martinez.com,2024-09-18,4,434.08,0
47,Craig,Ferrell,snguyen@yahoo.com,2024-09-02,0,407.61,1
48,Joshua,Rice,robertbentley@adkins.biz,2025-05-04,7,863.98,0
49,Cynthia,Maddox,justin69@pena.com,2025-03-23,8,430.98,0
50,Michael,Valencia,donnacampbell@hotmail.com,2025-01-13,1,897.65,0
